"name"	"correct"
"amc12b_2021_p3"	"0"
"amc12b_2021_p4"	"7"
"amc12b_2021_p9"	"0"
"imo_1959_p1"	"0"
"imo_1960_p2"	"0"
"imo_1962_p2"	"0"
"imo_1963_p5"	"0"
"imo_1964_p2"	"32"
"imo_1965_p2"	"0"
"imo_1968_p5_1"	"0"
"imo_1969_p2"	"0"
"imo_1974_p3"	"0"
"imo_1977_p6"	"0"
"imo_1981_p6"	"0"
"imo_1982_p1"	"0"
"imo_1983_p6"	"28"
"imo_1984_p6"	"0"
"imo_1985_p6"	"0"
"imo_1992_p1"	"0"
"imo_1997_p5"	"0"
"imo_2001_p6"	"0"
"imo_2019_p1"	"0"
"imosl_2007_algebra_p6"	"0"
"induction_11div10tonmn1ton"	"8"
"induction_12dvd4expnp1p20"	"22"
"induction_1pxpownlt1pnx"	"5"
"induction_nfactltnexpnm1ngt3"	"0"
"induction_pord1p1on2powklt5on2"	"0"
"induction_pprime_pdvdapowpma"	"0"
"induction_prod1p1onk3le3m1onn"	"0"
"induction_sumkexp3eqsumksq"	"0"
"mathd_algebra_107"	"28"
"mathd_algebra_113"	"26"
"mathd_algebra_114"	"0"
"mathd_algebra_125"	"13"
"mathd_algebra_129"	"25"
"mathd_algebra_137"	"26"
"mathd_algebra_139"	"25"
"mathd_algebra_141"	"23"
"mathd_algebra_142"	"23"
"mathd_algebra_143"	"31"
"mathd_algebra_148"	"31"
"mathd_algebra_153"	"3"
"mathd_algebra_156"	"13"
"mathd_algebra_158"	"1"
"mathd_algebra_160"	"29"
"mathd_algebra_17"	"0"
"mathd_algebra_170"	"0"
"mathd_algebra_171"	"30"
"mathd_algebra_176"	"30"
"mathd_algebra_184"	"0"
"mathd_algebra_188"	"5"
"mathd_algebra_196"	"28"
"mathd_algebra_208"	"0"
"mathd_algebra_209"	"0"
"mathd_algebra_215"	"24"
"mathd_algebra_24"	"32"
"mathd_algebra_246"	"29"
"mathd_algebra_263"	"31"
"mathd_algebra_270"	"8"
"mathd_algebra_275"	"2"
"mathd_algebra_276"	"0"
"mathd_algebra_288"	"1"
"mathd_algebra_289"	"0"
"mathd_algebra_293"	"0"
"mathd_algebra_296"	"31"
"mathd_algebra_302"	"18"
"mathd_algebra_304"	"28"
"mathd_algebra_313"	"21"
"mathd_algebra_314"	"30"
"mathd_algebra_320"	"0"
"mathd_algebra_329"	"26"
"mathd_algebra_33"	"23"
"mathd_algebra_332"	"0"
"mathd_algebra_338"	"5"
"mathd_algebra_342"	"0"
"mathd_algebra_346"	"32"
"mathd_algebra_354"	"32"
"mathd_algebra_359"	"32"
"mathd_algebra_362"	"0"
"mathd_algebra_388"	"28"
"mathd_algebra_392"	"9"
"mathd_algebra_398"	"29"
"mathd_algebra_400"	"31"
"mathd_algebra_412"	"32"
"mathd_algebra_419"	"32"
"mathd_algebra_427"	"27"
"mathd_algebra_432"	"31"
"mathd_algebra_44"	"23"
"mathd_algebra_440"	"28"
"mathd_algebra_441"	"30"
"mathd_algebra_452"	"25"
"mathd_algebra_459"	"0"
"mathd_algebra_478"	"31"
"mathd_algebra_484"	"13"
"mathd_algebra_487"	"0"
"mathd_algebra_513"	"28"
"mathd_algebra_598"	"0"
"mathd_algebra_756"	"6"
"mathd_algebra_76"	"7"
"mathd_algebra_80"	"22"
"mathd_numbertheory_100"	"30"
"mathd_numbertheory_1124"	"24"
"mathd_numbertheory_12"	"32"
"mathd_numbertheory_127"	"16"
"mathd_numbertheory_135"	"9"
"mathd_numbertheory_150"	"19"
"mathd_numbertheory_175"	"31"
"mathd_numbertheory_185"	"28"
"mathd_numbertheory_207"	"30"
"mathd_numbertheory_212"	"29"
"mathd_numbertheory_222"	"28"
"mathd_numbertheory_227"	"0"
"mathd_numbertheory_229"	"27"
"mathd_numbertheory_233"	"22"
"mathd_numbertheory_234"	"17"
"mathd_numbertheory_235"	"30"
"mathd_numbertheory_237"	"27"
"mathd_numbertheory_239"	"21"
"mathd_numbertheory_247"	"27"
"mathd_numbertheory_254"	"29"
"mathd_numbertheory_277"	"19"
"mathd_numbertheory_293"	"28"
"mathd_numbertheory_296"	"0"
"mathd_numbertheory_299"	"32"
"mathd_numbertheory_3"	"32"
"mathd_numbertheory_314"	"3"
"mathd_numbertheory_320"	"24"
"mathd_numbertheory_321"	"15"
"mathd_numbertheory_328"	"30"
"mathd_numbertheory_34"	"28"
"mathd_numbertheory_341"	"14"
"mathd_numbertheory_342"	"30"
"mathd_numbertheory_343"	"0"
"mathd_numbertheory_345"	"27"
"mathd_numbertheory_353"	"15"
"mathd_numbertheory_427"	"17"
"mathd_numbertheory_430"	"6"
"mathd_numbertheory_435"	"0"
"mathd_numbertheory_447"	"30"
"mathd_numbertheory_451"	"0"
"mathd_numbertheory_457"	"19"
"mathd_numbertheory_483"	"1"
"mathd_numbertheory_495"	"0"
"mathd_numbertheory_5"	"11"
"mathd_numbertheory_517"	"32"
"mathd_numbertheory_521"	"9"
"mathd_numbertheory_541"	"0"
"mathd_numbertheory_551"	"31"
"mathd_numbertheory_552"	"0"
"mathd_numbertheory_559"	"22"
"mathd_numbertheory_582"	"16"
"mathd_numbertheory_618"	"0"
"mathd_numbertheory_66"	"31"
"mathd_numbertheory_711"	"10"
"mathd_numbertheory_728"	"24"
"mathd_numbertheory_764"	"0"
"mathd_numbertheory_765"	"24"
"mathd_numbertheory_769"	"29"
"mathd_numbertheory_85"	"31"
"mathd_numbertheory_99"	"26"
"numbertheory_2pownm1prime_nprime"	"0"
"numbertheory_3pow2pownm1mod2pownp3eq2pownp2"	"0"
"numbertheory_4x3m7y3neq2003"	"17"
"numbertheory_aoddbdiv4asqpbsqmod8eq1"	"0"
"numbertheory_exk2powkeqapb2mulbpa2_aeq1"	"0"
"numbertheory_fxeq4powxp6powxp9powx_f2powmdvdf2pown"	"0"
"numbertheory_notequiv2i2jasqbsqdiv8"	"9"
"numbertheory_x5neqy2p4"	"21"
